arauna_dex,symbol,pt,en
040,Papaguim,Aprende a repetir palavras em três dias. Aprende palavroes em uma tarde.,It learns to repeat words in three days. It learns swearing in an afternoon.
041,Papagaio,Memoriza conversas inteiras e as repete pra pessoas erradas. Causa muita confusao.,It memorises whole conversations and repeats them to the wrong people. It causes trouble.
042,Papagaiao,Vive 200 anos. Guarda segredos de geraçoes de treinadores em sua memória.,"It lives 200 years, holding the secrets of generations of trainers in its memory."
043,Antinha,Listrada como um javali pequeno. Sua tromba curta cheira frutas a 100 metros.,Striped like a small boar. Its short snout smells fruit a hundred metres off.
044,Anta,Atravessa rios inteiros submersa. Come até 40 quilos de folhas por dia.,It crosses whole rivers underwater and eats forty kilos of leaves a day.
045,Antarau,Espírito da mata. Guia treinadores perdidos até a borda da floresta.,A spirit of the forest. It guides lost trainers back to the edge of the trees.
046,Sucurim,Já nasce com 2 metros. Se enrola em galhos esperando presas.,It is already two metres long at birth. It coils in branches and waits for prey.
047,Sucuri,Sufoca a presa e engole inteira. Se torna Boiúna após anos absorvendo lendas do rio.,It smothers its prey and swallows it whole. Years of river legend turn it into Boiuna.
048,Boiuna,Cobra-Grande da mitologia amazônica. Olhos brilham como faróis de barco em noite de igarapé. Diz a lenda que sua passagem forma novos rios.,"The Cobra-Grande of Amazon myth. Its eyes shine like boat lamps on the creek at night, and legend says its passing carves new rivers."
049,Borbolim,Come folhas de urtiga sem se envenenar. Guarda o veneno na pele.,"It eats nettle leaves without being poisoned, and stores the venom in its skin."
050,Casulete,"Casulo iridescente que reflete o azul do céu. Nao se move, mas dá choque se tocado.","An iridescent cocoon that mirrors the blue sky. It cannot move, but it shocks anything that touches it."
051,Morphalia,Asas do tamanho de maos humanas. Suas escamas azuis viram poeira mágica curativa.,Wings the size of human hands. Its blue scales become healing magic dust.
052,Guaracim,Pernas desproporcionalmente longas. Corre de galope pelo cerrado atrás de frutas.,Its legs are far too long. It gallops across the cerrado after fruit.
053,Guara,"Uiva ao entardecer. Come lobeira, uma fruta doce, e planta a floresta com suas fezes.",It howls at dusk. It eats the sweet lobeira fruit and plants the forest with its droppings.
054,Guaraflama,Aparece nas noites de lua nova. Suas patas deixam pegadas em brasa.,It appears on new moon nights. Its paws leave footprints of live coals.
055,Peixim,Nada devagar mamando na mae. Chora com voz de bebê quando se perde.,"It swims slowly, nursing from its mother, and cries like a baby when it gets lost."
056,Peixeboi,Herbívoro pacífico. Come até 50 quilos de plantas aquáticas por dia.,A peaceable herbivore. It eats fifty kilos of water plants a day.
057,MaeDAgua,Protetora dos rios. Diz o folclore que amamentou crianças perdidas.,Protector of the rivers. Folklore says she nursed lost children.
058,Mandim,Bigodes farejam comida no lodo do fundo. Meio cego.,Its whiskers find food in the mud below. It is nearly blind.
059,Mandi,Espinhos venenosos nas nadadeiras. Uma picada tira o sono por dias.,Venomous spines in its fins. One sting costs days of sleep.
060,Mandube,Do tamanho de um homem. Nada no escuro absoluto do fundo dos rios.,The size of a man. It swims in the total dark of the river bottom.
061,Preguim,Aprende a usar galhos como ferramentas ainda filhote. Rouba comida de acampamentos.,"It uses sticks as tools while still young, and robs camps of food."
062,Prego,Usa pedras pra quebrar castanhas. Ensina técnicas a filhotes por geraçoes.,"It cracks nuts with stones, and has taught the technique to its young for generations."
063,Pregarcanjo,Considerado o mais inteligente dos primatas de Arauana. Resolve enigmas humanos.,Held to be the cleverest primate in Arauana. It solves human riddles.
064,Aranin,Tece teias em galhos secos. Come pequenas Formilim.,It spins webs in dry branches and eats small Formilim.
065,Caraninha,Pelos urticantes causam coceira insuportável em contato.,Its stinging hairs raise an unbearable itch on contact.
066,Caranga,Do tamanho de um prato. Presas perfuram até luvas de couro.,The size of a dinner plate. Its fangs go through leather gloves.
067,Gatim,"Mia igual gato doméstico, mas nao deixa ninguém chegar perto.","It meows like a house cat, but lets nobody close."
068,GatoDoMato,Caça pássaros no meio da noite. Suas pupilas brilham verde nas lanternas.,It hunts birds at midnight. Its pupils flash green in torchlight.
069,Jaguatirica,Manchas em roseta como uma onça-pintada em miniatura. Sobe em árvores atrás de macacos.,"Rosette spots, like a jaguar in miniature. It climbs trees after monkeys."
070,Cutim,Enterra sementes de castanha e esquece onde colocou. Planta a floresta sem querer.,It buries nuts and forgets where. It plants the forest by accident.
071,Cutia,Roe qualquer coisa. Dentes crescem a vida inteira.,It gnaws anything. Its teeth grow for its whole life.
072,Paca,Só sai de noite. Correndo assobiando pela mata escura.,"It comes out only at night, running and whistling through the dark woods."
073,Formigao,Mordida dolorida como levar 24 horas de caibra. Nome popular: formiga bala.,Its bite hurts like a full day of cramp. Locals call it the bullet ant.
074,Marimbondo,Enxame agressivo. Persegue ameaças por quilômetros.,An aggressive swarm. It chases a threat for kilometres.
075,Abelhinha,Nao tem ferrao. Faz mel doce que treinadores usam pra recuperar Pokémon feridos.,It has no sting. Its sweet honey is used to revive hurt Pokémon.
076,Quatim,Bando de 15 andando pelas trilhas. Fura mochila atrás de biscoito.,"Bands of fifteen walk the trails, going through packs after biscuits."
077,Quati,Aprende a abrir zíperes de tenda. Rouba tudo que brilha.,"It has learned to open tent zips, and steals anything that shines."
078,Coati,Vive em cavernas escuras. Focinho longuíssimo pra caçar morcegos.,It lives in dark caves. Its very long snout is made for hunting bats.
079,Gamba,Solta um cheiro nauseante quando ameaçado. Treinadores fogem antes do Pokémon.,It lets out a sickening smell when threatened. Trainers flee before it does.
080,Cangamba,Jato de fedor atinge 3 metros de distância. Dura semanas na roupa.,Its stink jet reaches three metres and lasts weeks in your clothes.
081,Sarue,Se finge de morto por horas quando ameaçado. Enganou até Onçaléu.,It plays dead for hours when threatened. It has even fooled Onçaléu.
082,Tuquinho,Bico colorido chama fêmeas de longe. Come frutas silvestres.,Its bright bill calls females from far off. It eats wild fruit.
083,Aracari,Voa em bando de 6. Todos comem da mesma fruta ao mesmo tempo.,It flies in sixes. All of them eat from the same fruit at once.
084,Curicaca,Grito estridente ao amanhecer. Toda fazenda de Arauana odeia esse Pokémon.,A shrill cry at daybreak. Every farm in Arauana hates this Pokémon.
085,Sapim,Nada em cardumes. Vira Sapao quando as patas crescem.,"It swims in shoals, and becomes Sapao once its legs come in."
086,Sapao,Glândulas atrás dos olhos soltam veneno branco. Nunca lamba um Sapao.,Glands behind its eyes weep white poison. Never lick a Sapao.
087,Cururu,Do tamanho de uma bola de futebol. Come Muriçoco aos milhares.,The size of a football. It eats Muriçoco by the thousand.
088,Teiuzim,Corre em duas patas quando assustado. Rabo destaca pra despistar predadores.,It runs on two legs when startled. Its tail detaches to throw off predators.
089,Teiu,"Come tudo: frutas, ovos, pequenos animais. Come até serpentes venenosas.","It eats everything: fruit, eggs, small animals, even venomous snakes."
090,Camaleao,Muda de cor pra combinar com o ambiente. Também muda de humor de segundo em segundo.,"It changes colour to match its surroundings, and its mood by the second."
091,Morcim,Dorme de cabeça pra baixo agarrado no teto da caverna.,"It sleeps upside down, gripping the roof of the cave."
092,Morcego,Enxerga com som. Voa no escuro absoluto sem bater em nada.,"It sees with sound, flying in absolute dark without touching anything."
093,Vampiro,Suga sangue de mamíferos adormecidos. Deixa o dono anêmico se convive muito tempo.,It drinks the blood of sleeping mammals. Long company leaves its owner anaemic.
094,Piuiuim,Fica em uma perna só a maior parte do tempo. Cai se um vento forte pega.,"It stands on one leg most of the time, and topples if a hard wind catches it."
095,Tuiuiu,Ave símbolo do Pantanal. Bico enorme pesca peixes com uma bicada só.,The bird of the Pantanal. Its huge bill takes a fish in one stab.
096,Colhereiro,Rosa por comer crustáceos. Bico em formato de colher.,Pink from eating shellfish. Its bill is shaped like a spoon.
097,Mulinha,Filhote inocente. Nada indica o que vai virar quando crescer.,An innocent foal. Nothing about it hints at what it becomes.
098,Mula,Cavalga mais rápido que um cavalo. Zurro assustador.,It rides faster than a horse. Its bray is terrifying.
099,MulaSemCabeca,Solta fogo do pescoço no lugar da cabeça. Aparece nas sextas-feiras.,Fire pours from its neck where the head should be. It comes on Fridays.
100,Corcovado,Espírito de uma montanha inteira. Costas cobertas de mata que respira.,"The spirit of an entire mountain. Its back is covered in forest, and it breathes."
101,Cervalo,Chifres pontudos ainda em desenvolvimento. Salta arbustos com facilidade.,Its pointed horns are still coming in. It clears bushes easily.
102,Catingueiro,Chifres se ramificam com a idade. Come cactos sem se machucar.,Its horns branch with age. It eats cactus without hurting itself.
103,Sucuapara,Chifres tao grandes que precisam levantar a cabeça pra passar pela mata.,Horns so wide it has to raise its head to get through the woods.
104,Cabocim,Espírito das águas em forma humanoide. Nada como um peixe.,A water spirit in human shape. It swims like a fish.
105,Caboclo,Puxa canoas pra fundo quando pescadores desrespeitam o rio.,It drags canoes under when fishermen disrespect the river.
106,Cangaco,Ave que rouba dos ricos e distribui pros pobres - segundo os sertanejos.,"A bird that robs the rich and gives to the poor, so the backlanders say."
107,Xango,Domina raios e trovoes. Machado bipene solta faíscas ao golpear.,Master of lightning and thunder. Its twin-headed axe throws sparks when it strikes.
108,Iemanja,Deusa dos oceanos. Filhas peixes seguem-na em cortejo.,"Goddess of the oceans. Her daughters, the fish, follow her in procession."
109,Oxum,Rainha das águas doces. Cabelo de ouro molhado escorre pra sempre.,Queen of fresh water. Her hair of wet gold runs and never dries.
110,Ogum,Ferreiro divino. Forjou espadas que cortam a alma dos malfeitores.,The divine blacksmith. He forged blades that cut the souls of wrongdoers.
111,Cavalim,Crina longa esvoaça no vento. Aprende a galopar em uma semana.,Its long mane streams in the wind. It learns to gallop in a week.
112,Cavalgado,Corre 60 km/h por horas. Domesticado por gaúchos de Arauana.,It runs at sixty an hour for hours. The gauchos of Arauana tamed it.
113,Zebuim,Corcova enorme já visível no filhote. Ainda inseguro nas patas.,Its huge hump already shows in the foal. It is still unsure on its feet.
114,Zebu,Corcova gigante. Aguenta calor extremo do cerrado sem se cansar.,A giant hump. It takes the worst heat of the cerrado without tiring.
115,Ovelhinha,Lan grossa protege do frio serrano. Docilíssima.,Thick wool against the highland cold. Utterly gentle.
116,Cabrita,Sobe morros impossíveis. Come galhos secos.,It climbs impossible slopes and eats dry branches.
117,Chocalhao,Chocalho no rabo ainda pequeno. Aprende a tocar aos poucos.,The rattle on its tail is still small. It is learning to play it.
118,Cascavelim,Veneno neurotóxico já plenamente ativo. Chocalho intimida predadores.,Its neurotoxin is fully active. The rattle warns predators off.
119,Cascavao,Uma mordida paralisa até Onçaléu. Chocalho ouve-se a 100 metros.,One bite paralyses even Onçaléu. Its rattle carries a hundred metres.
120,Jararaca,Camufla-se em folhas caídas. Nao avisa antes de morder.,It hides among fallen leaves. It gives no warning before it bites.
121,Pirarim,Nasce com 30 cm. Cresce um metro por ano em rio bem alimentado.,Thirty centimetres at birth. It grows a metre a year in a well-fed river.
122,Pirarucu,Até 3 metros de comprimento. Respira ar da superfície como um mamífero.,Up to three metres long. It breathes surface air like a mammal.
123,Piranha,Ataca em cardume. Descarnam uma vaca em minutos.,It attacks in shoals. They strip a cow in minutes.
124,Tambaqui,Come frutas que caem dos igapós. Dentes triturando sementes.,It eats fruit falling into the flooded forest. Its teeth grind the seeds.
125,Aruana,Salta 2 metros fora dágua pra pegar insetos em galhos.,It leaps two metres clear of the water to take insects off branches.
126,Poraque,Solta choque de 600 volts. Paralisa qualquer coisa que toque a água.,"It puts out a six hundred volt shock, paralysing anything touching the water."
127,Curimbata,Nada em cardumes gigantes. Migra rio acima na piracema.,"It swims in enormous shoals, running upriver at spawning time."
128,Traira,Espera imóvel entre folhas submersas. Dentes afiados travam a presa.,It waits still among sunken leaves. Its sharp teeth lock onto prey.
129,Dourado,Salta em cachoeiras rio acima. Escamas douradas brilham como moedas.,It leaps up waterfalls. Its golden scales shine like coins.
130,Tucunare,Mancha ocelada na cauda espanta predadores. Ataca qualquer coisa que entre no território.,The eyespot on its tail scares predators off. It attacks anything entering its water.
131,Pacu,Dentes humanos triturando castanhas. Confunde treinadores nadando.,Human-looking teeth grinding nuts. Swimmers mistake it for one of their own.
132,Matrinxa,Cardumes escuros deslizam pelas corredeiras. Pesca esportiva popular.,Dark shoals slip through the rapids. A favourite of sport anglers.
133,Piau,Listras douradas laterais. Come tudo que cai na água.,Gold stripes down its flanks. It eats whatever falls in the water.
134,Cascudo,Placas duras cobrem o corpo. Roi lodo dos aquários.,Hard plates cover its body. It scrapes the algae off aquarium glass.
135,Acara,Formato de disco colorido. Cria os filhotes no próprio muco da pele.,A bright disc of a fish. It raises its young on the mucus of its own skin.
136,Vagalumim,Bumbum acende só quando fica com medo. Ilumina caminhos na mata.,"Its tail lights only when it is frightened, showing the way through the woods."
137,Vagalume,Piscadas em código atraem fêmeas. Ilumina 5 metros ao redor.,"It blinks in code to draw females, lighting five metres around it."
138,Cigarrinho,Vive 7 anos debaixo da terra antes de virar Cigarrao.,It lives seven years underground before it becomes Cigarrao.
139,Cigarrao,Canto de 100 decibéis. Sinal do verao em Arauana.,A hundred-decibel song. The sign of summer in Arauana.
140,Louvadinha,Foices ainda pequenas mas afiadas. Come formigas.,Its scythes are small but already sharp. It eats ants.
141,Louvadeus,Reza antes de decapitar a presa. Fêmea come o macho após acasalar.,It prays before beheading its prey. The female eats the male after mating.
142,Escorpim,Ferrao translúcido no rabo. Uma picada tira o sono da noite.,A see-through sting in its tail. One jab costs a night's sleep.
143,Escorpiao,Pinças esmagam besouros. Ferrao paralisa até um Cavalgado.,Its claws crush beetles. Its sting can paralyse even a Cavalgado.
144,Caramulao,Concha espiralada com padrao folclórico. Come alface das margens.,A spiral shell with a folk pattern on it. It eats lettuce along the banks.
145,Piolhao,Se enrola em bola quando ameaçado. Solta cheiro de amêndoa amarga.,"It curls into a ball when threatened, giving off a smell of bitter almond."
146,Barata,"Sobrevive a qualquer coisa. Radiaçao, veneno, chinelo.","It survives anything. Radiation, poison, a flip-flop."
147,Grilim,Salta 30 vezes o próprio tamanho. Toca música com as pernas.,"It leaps thirty times its own length, and plays music with its legs."
148,Grilao,Canto ininterrupto à noite. Anuncia chuva.,It sings without pause all night. It announces rain.
149,Aranhao,Levanta as patas dianteiras antes de atacar. Veneno neurotóxico grave.,It raises its front legs before it strikes. Its neurotoxin is serious.
150,Vespao,Caça aranhas do tamanho de maos e as arrasta pro ninho.,It hunts spiders the size of hands and drags them back to the nest.
151,Marimbondao,Ferroada dolorosa por horas. Faz ninho de barro em telhados.,A sting that hurts for hours. It builds mud nests on rooftops.
152,Traca,Come móveis por dentro. Só se percebe quando desmorona.,It eats furniture from the inside. Nobody notices until it collapses.
153,Corupiao,Vive 30 anos botando ovos sem parar. Cupinzeiro cresce em torno dela.,She lives thirty years laying without pause. The mound grows around her.
154,Cupinzim,Mandíbulas gigantes protegem a rainha. Nao come - só briga.,"Giant jaws guard the queen. It does not eat, only fight."
155,FormigaoPreto,Corre em fila indiana por quilômetros. Devora tudo no caminho.,"It marches in single file for kilometres, devouring everything on the way."
156,BeijaFlor,Bate as asas 80 vezes por segundo. Voa pra trás e de cabeça pra baixo.,Its wings beat eighty times a second. It flies backwards and upside down.
157,Sabia,Canto conhecido como o mais bonito do Brasil. Anuncia a primavera.,Its song is held the most beautiful in Brazil. It announces the spring.
158,BemTeVi,Grita o próprio nome. Delator de tudo que acontece no quintal.,"It shouts its own name, telling the whole yard what everyone did."
159,Urutau,Se disfarça de galho seco. Canto lamentoso à noite assusta viajantes.,It disguises itself as a dead branch. Its mournful night song frightens travellers.
160,Carcara,"Come cobras, ratos e até cordeiros pequenos. Símbolo do sertao.","It eats snakes, rats and even small lambs. The emblem of the backlands."
161,Gaviao,Maior ave de rapina das Américas. Come macacos e preguiças.,The largest bird of prey in the Americas. It takes monkeys and sloths.
162,Urubu,Come qualquer carne podre. Faz limpeza dos campos.,"It eats any rotting meat, and keeps the fields clean."
163,Corurupim,Olhos giram 270 graus. Vê no escuro total.,Its eyes turn 270 degrees. It sees in total dark.
164,Coruja,Vive em buracos no chao do cerrado. Voa em silêncio absoluto.,It lives in burrows in the cerrado floor and flies in complete silence.
165,Jaburu,Voa em bandos de centenas. Pesca peixes com bico de espada.,"It flies in flocks of hundreds, spearing fish with a bill like a sword."
166,Ema,Maior ave do Brasil. Corre 60 km/h em fuga.,The largest bird in Brazil. It runs at sixty an hour to escape.
167,Seriema,Bate cobras venenosas contra o chao até matar. Só depois come.,"It beats venomous snakes on the ground until they die, and only then eats."
168,Anu,Vive em bandos ruidosos. Come carrapatos das costas de vacas.,"It lives in noisy flocks, picking ticks off the backs of cattle."
169,TrincaFerro,Canto tao forte que treinadores premiam pelo timbre em concursos.,A song so strong that trainers award prizes for its tone at contests.
170,Curio,Canto elaborado com trinados. Ave mais valiosa em disputas de canto.,An elaborate song full of trills. The most prized bird in singing contests.
171,Sanhaco,Azul cintilante brilha no sol. Come frutas em quintais.,A glittering blue that catches the sun. It eats fruit in back gardens.
172,PapaFormiga,Come exclusivamente formigas correiçao. Segue enxames por dias.,"It eats nothing but army ants, following the swarms for days."
173,Choca,Vive na sombra baixa. Assusta borboletas com bater de asas.,"It lives in the low shade, startling butterflies with a beat of its wings."
174,Bacurau,Voa rasante caçando insetos. Boca gigante abre no ar.,"It skims low after insects, its huge mouth opening in mid-air."
175,JoaoDeBarro,Constrói ninho de barro em forma de forno. Vira símbolo em pátios rurais.,"It builds a clay nest shaped like an oven, an emblem of country yards."
176,Sementim,Semente-de-jequitibá que aprendeu a andar em duas raízes.,A jequitibá seed that learned to walk on two roots.
177,Muda,Broto de árvore com folhinhas de sol. Rega-se sozinha nas chuvas.,A sapling with little sun-catching leaves. The rain waters it for free.
178,Jequitiba,Árvore centenária ambulante. Passa mais tempo parada do que andando.,A hundred-year tree that walks. It stands still far more than it moves.
179,Bromelinha,Copo natural que junta água da chuva. Sapos vivem dentro.,A natural cup that gathers rainwater. Frogs live inside it.
180,Orquidina,Pétalas iridescentes. Aroma atrai polinizadores por quilômetros.,Iridescent petals. Its scent draws pollinators from kilometres away.
181,Vitoriaregia,Folha do tamanho de uma cama de casal. Aguenta uma criança em pé.,A leaf the size of a double bed. It holds a standing child.
182,Ipe,Perde as folhas e floresce amarelo no inverno seco.,It drops its leaves and flowers yellow in the dry winter.
183,Cipo,Se enrosca em árvores e sufoca. Longuíssimo - dá volta em morros.,It winds around trees and strangles them. So long it can ring a hill.
184,Palmito,Coraçao da palmeira é iguaria disputada. Se defende com espinhos no tronco.,"Its palm heart is a prized delicacy, so it defends itself with a spined trunk."
185,Babacu,Coco duríssimo. Só Petropico consegue quebrar.,A coconut of terrible hardness. Only Petropico can crack it.
186,Buriti,Cresce onde tem água doce escondida. Sinaliza oásis no cerrado.,"It grows where fresh water hides, marking oases in the cerrado."
187,Cajuzim,Fruta que anda. Castanha na cabeça balança como topete.,A fruit that walks. The nut on its head bobs like a quiff.
188,Cajueiro,Assa a própria castanha ao sol da caatinga. Aroma inebriante.,It roasts its own nut in the caatinga sun. The smell is intoxicating.
189,Acai,Cacho roxo escuro no topo. Energético natural pros Pokémon lutadores.,A dark purple cluster on top. Natural fuel for Fighting Pokémon.
190,Cacauim,Fruto amarelo com sementes doces. Vira Chocolat na fermentaçao.,A yellow fruit with sweet seeds. Fermenting turns it into Chocolat.
191,Cacaueiro,Vagens roxas quando maduras. Origem do chocolate de Arauana.,Purple pods when ripe. The origin of Arauana chocolate.
192,Guarana,Semente pretíssima parece um olho. Energia natural pura.,A seed so black it looks like an eye. Pure natural energy.
193,Mate,Folhas amargas viram chimarrao. Companheiro dos gaúchos de Arauana.,"Its bitter leaves make chimarrao, companion of the Arauana gauchos."
194,Milho,"Espigas coloridas amarela, vermelha, roxa. Alimento das aldeias.","Ears in yellow, red and purple. The food of the villages."
195,Mandioca,Raiz alongada parece perna. Enterra a si mesma pra dormir.,A long root shaped like a leg. It buries itself to sleep.
196,Pedrinha,Pedra rolada por milênios. Perfeitamente lisa.,A stone rolled for millennia. Perfectly smooth.
197,Rochao,Rocha ambulante que ronca ao rolar. Faz tremer o chao.,"A walking rock that rumbles as it rolls, shaking the ground."
198,Cristalim,Cristal transparente. Cresce um centímetro por ano em cavernas úmidas.,A clear crystal. It grows a centimetre a year in damp caves.
199,Ametista,Geodo roxo brilhante. Refrata o sol em arco-íris.,A bright purple geode. It breaks the sun into rainbows.
200,Ourico,Pepita ambulante. Bandidos perseguem por Arauana inteira.,A walking nugget. Bandits chase it across the whole of Arauana.
201,Ferrolho,Rocha pesadíssima. Ficha em pé só se plantar as raízes.,A rock of terrible weight. It only stands if it puts down roots.
202,Diamantina,Pedra preciosíssima. Reflete arco-íris em qualquer luz.,A gem of the highest order. It throws rainbows in any light.
203,Bauxito,Cor terracota. Se descama em placas metálicas.,Terracotta coloured. It flakes away in metal sheets.
204,Manganim,Preto brilhante. Absorve luz ao redor.,A shining black. It swallows the light around it.
