dex,name,types,englishCategory,habitat,englishDex,hp,attack,defense,spAttack,spDefense,speed,sourceAbilities,evolution,sourceInspiration,artOrigin,referenceStatus,editableFolder,frontSprite,backSprite,icon,normalPalette,shinyPalette,productionProfile
37,Preguicim,grass,Slow,Arauna Atlantic Forest,"Preguicim, the Slow POKéMON, inhabits Arauna Atlantic Forest. Its Grass nature reflects Brazil's wildlife and legends.",45,50,45,45,45,55,Espessura | Colheita,#038 (Level 22),Preguiça-de-três-dedos,reference-front-plus-reconstructed-back,available,037_preguicim,037_preguicim/anim_front.png,037_preguicim/back.png,037_preguicim/icon.png,037_preguicim/normal.pal,037_preguicim/shiny.pal,037_preguicim/candidate_profile.json
38,Preguicão,grass/psychic,Dreamer,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Preguicão is known as the Dreamer POKéMON. It carries a distinct Grass/Psychic affinity.",69,68,67,65,65,72,Espessura | Colheita,#039 (Level 30),Preguiça adulta,reference-front-plus-reconstructed-back,available,038_preguicao,038_preguicao/anim_front.png,038_preguicao/back.png,038_preguicao/icon.png,038_preguicao/normal.pal,038_preguicao/shiny.pal,038_preguicao/candidate_profile.json
39,Bicho-Preguiça,grass/psychic,Shaman,Arauna Atlantic Forest,"Bicho-Preguiça lives in Arauna Atlantic Forest. This Grass/Psychic POKéMON embodies a part of Brazil's nature, folklore, or culture.",82,103,86,95,90,95,Espessura | Colheita,,Preguiça-gigante ancestral,reference-front-plus-reconstructed-back,available,039_bicho-preguica,039_bicho-preguica/anim_front.png,039_bicho-preguica/back.png,039_bicho-preguica/icon.png,039_bicho-preguica/normal.pal,039_bicho-preguica/shiny.pal,039_bicho-preguica/candidate_profile.json
40,Papaguim,flying,Talker,Arauna Atlantic Forest,"Papaguim, the Talker POKéMON, inhabits Arauna Atlantic Forest. Its Flying nature reflects Brazil's wildlife and legends.",46,49,45,45,45,55,Vista Aguçada | Vento Veloz,#041 (Level 36),Papagaio filhote,reference-front-plus-reconstructed-back,available,040_papaguim,040_papaguim/anim_front.png,040_papaguim/back.png,040_papaguim/icon.png,040_papaguim/normal.pal,040_papaguim/shiny.pal,040_papaguim/candidate_profile.json
41,Papagaio,flying/psychic,Talker,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Papagaio is known as the Talker POKéMON. It carries a distinct Flying/Psychic affinity.",70,67,67,65,65,72,Vista Aguçada | Vento Veloz,#042 (Level 40),Papagaio-verdadeiro,reference-front-plus-reconstructed-back,available,041_papagaio,041_papagaio/anim_front.png,041_papagaio/back.png,041_papagaio/icon.png,041_papagaio/normal.pal,041_papagaio/shiny.pal,041_papagaio/candidate_profile.json
42,Papagaião,flying/psychic,Advisor,Arauna Atlantic Forest,"Papagaião lives in Arauna Atlantic Forest. This Flying/Psychic POKéMON embodies a part of Brazil's nature, folklore, or culture.",83,102,87,95,90,95,Vista Aguçada | Vento Veloz,,Papagaio ancião,reference-front-plus-reconstructed-back,available,042_papagaiao,042_papagaiao/anim_front.png,042_papagaiao/back.png,042_papagaiao/icon.png,042_papagaiao/normal.pal,042_papagaiao/shiny.pal,042_papagaiao/candidate_profile.json
43,Antinha,normal,Chubby-Cheek,Arauna Amazon,"Antinha, the Chubby-Cheek POKéMON, inhabits Arauna Amazon. Its Normal nature reflects Brazil's wildlife and legends.",47,48,46,45,45,55,Faro | Placidez,#044 (Level 22),Anta filhote,reference-front-plus-reconstructed-back,available,043_antinha,043_antinha/anim_front.png,043_antinha/back.png,043_antinha/icon.png,043_antinha/normal.pal,043_antinha/shiny.pal,043_antinha/candidate_profile.json
44,Anta,normal/water,Swimmer,Arauna Amazon,"Found in Arauna Amazon, Anta is known as the Swimmer POKéMON. It carries a distinct Normal/Water affinity.",80,105,85,95,90,95,Faro | Placidez,,Anta adulta,reference-front-plus-reconstructed-back,available,044_anta,044_anta/anim_front.png,044_anta/back.png,044_anta/icon.png,044_anta/normal.pal,044_anta/shiny.pal,044_anta/candidate_profile.json
45,Antaraú,normal/water,Spirit,Arauna Amazon,"Antaraú lives in Arauna Amazon. This Normal/Water POKéMON embodies a part of Brazil's nature, folklore, or culture.",71,79,71,75,72,78,Faro | Placidez,,Anta lendária,reference-front-plus-reconstructed-back,available,045_antarau,045_antarau/anim_front.png,045_antarau/back.png,045_antarau/icon.png,045_antarau/normal.pal,045_antarau/shiny.pal,045_antarau/candidate_profile.json
46,Sucurim,water/poison,Serpent,Arauna Rivers,"Sucurim, the Serpent POKéMON, inhabits Arauna Rivers. Its Water/Poison nature reflects Brazil's wildlife and legends.",48,47,46,45,45,55,Torrente | Corpo Molhado,#047 (Level 36),Sucuri jovem,reference-front-plus-reconstructed-back,available,046_sucurim,046_sucurim/anim_front.png,046_sucurim/back.png,046_sucurim/icon.png,046_sucurim/normal.pal,046_sucurim/shiny.pal,046_sucurim/candidate_profile.json
47,Sucuri,water/poison,Constrictor,Arauna Rivers,"Found in Arauna Rivers, Sucuri is known as the Constrictor POKéMON. It carries a distinct Water/Poison affinity.",80,95,80,75,80,70,Muda | Faro,#048 (Level 55),Sucuri gigante,reference-front-plus-reconstructed-back,available,047_sucuri,047_sucuri/anim_front.png,047_sucuri/back.png,047_sucuri/icon.png,047_sucuri/normal.pal,047_sucuri/shiny.pal,047_sucuri/candidate_profile.json
48,Boiuna,water/dragon,Great-Snake,Arauna Amazon,"Boiuna lives in Arauna Amazon. This Water/Dragon POKéMON embodies a part of Brazil's nature, folklore, or culture.",95,130,100,100,95,80,Muda | Intimidação,,Cobra-Grande — pseudo-lendário de Arauana,reference-front-plus-reconstructed-back,available,048_boiuna,048_boiuna/anim_front.png,048_boiuna/back.png,048_boiuna/icon.png,048_boiuna/normal.pal,048_boiuna/shiny.pal,048_boiuna/candidate_profile.json
49,Borbolim,bug,Caterpillar,Arauna Atlantic Forest,"Borbolim, the Caterpillar POKéMON, inhabits Arauna Atlantic Forest. Its Bug nature reflects Brazil's wildlife and legends.",49,46,47,45,45,55,Enxame | Olho Composto,#050 (Level 22),Lagarta borboleta-azul,reference-front-plus-reconstructed-back,available,049_borbolim,049_borbolim/anim_front.png,049_borbolim/back.png,049_borbolim/icon.png,049_borbolim/normal.pal,049_borbolim/shiny.pal,049_borbolim/candidate_profile.json
50,Casulete,bug,Cocoon,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Casulete is known as the Cocoon POKéMON. It carries a distinct Bug affinity.",42,53,43,45,45,55,Enxame | Olho Composto,#051 (Level 30),Casulo cintilante,reference-front-plus-reconstructed-back,available,050_casulete,050_casulete/anim_front.png,050_casulete/back.png,050_casulete/icon.png,050_casulete/normal.pal,050_casulete/shiny.pal,050_casulete/candidate_profile.json
51,Morphália,bug/fairy,Iridescent,Arauna Atlantic Forest,"Morphália lives in Arauna Atlantic Forest. This Bug/Fairy POKéMON embodies a part of Brazil's nature, folklore, or culture.",86,99,88,95,90,95,Enxame | Olho Composto,,Borboleta-azul gigante,reference-front-plus-reconstructed-back,available,051_morphalia,051_morphalia/anim_front.png,051_morphalia/back.png,051_morphalia/icon.png,051_morphalia/normal.pal,051_morphalia/shiny.pal,051_morphalia/candidate_profile.json
52,Guaracim,fire,Long-Legged,Arauna Cerrado,"Guaracim, the Long-Legged POKéMON, inhabits Arauna Cerrado. Its Fire nature reflects Brazil's wildlife and legends.",50,45,47,45,45,55,Chama | Corpo Flamejante,#053 (Level 36),Filhote de lobo-guará,reference-front-plus-reconstructed-back,available,052_guaracim,052_guaracim/anim_front.png,052_guaracim/back.png,052_guaracim/icon.png,052_guaracim/normal.pal,052_guaracim/shiny.pal,052_guaracim/candidate_profile.json
53,Guará,fire/normal,Cerrado,Arauna Cerrado,"Found in Arauna Cerrado, Guará is known as the Cerrado POKéMON. It carries a distinct Fire/Normal affinity.",83,102,87,95,90,95,Chama | Corpo Flamejante,,Lobo-guará adulto,reference-front-plus-reconstructed-back,available,053_guara,053_guara/anim_front.png,053_guara/back.png,053_guara/icon.png,053_guara/normal.pal,053_guara/shiny.pal,053_guara/candidate_profile.json
54,Guaraflama,fire/ghost,Spirit,Arauna Cerrado,"Guaraflama lives in Arauna Cerrado. This Fire/Ghost POKéMON embodies a part of Brazil's nature, folklore, or culture.",74,76,73,75,72,78,Chama | Corpo Flamejante,,Lobo-guará espectral,reference-front-plus-reconstructed-back,available,054_guaraflama,054_guaraflama/anim_front.png,054_guaraflama/back.png,054_guaraflama/icon.png,054_guaraflama/normal.pal,054_guaraflama/shiny.pal,054_guaraflama/candidate_profile.json
55,Peixim,water,Gentle,Arauna Amazon,"Peixim, the Gentle POKéMON, inhabits Arauna Amazon. Its Water nature reflects Brazil's wildlife and legends.",40,55,42,45,45,55,Torrente | Corpo Molhado,#056 (Level 22),Peixe-boi filhote,reference-front-plus-reconstructed-back,available,055_peixim,055_peixim/anim_front.png,055_peixim/back.png,055_peixim/icon.png,055_peixim/normal.pal,055_peixim/shiny.pal,055_peixim/candidate_profile.json
56,Peixeboi,water,Gentle,Arauna Amazon,"Found in Arauna Amazon, Peixeboi is known as the Gentle POKéMON. It carries a distinct Water affinity.",84,101,87,95,90,95,Torrente | Corpo Molhado,,Peixe-boi adulto,reference-front-plus-reconstructed-back,available,056_peixeboi,056_peixeboi/anim_front.png,056_peixeboi/back.png,056_peixeboi/icon.png,056_peixeboi/normal.pal,056_peixeboi/shiny.pal,056_peixeboi/candidate_profile.json
57,Mãe-d'Água,water/fairy,Guardian,Arauna Amazon,"Mãe-d'Água lives in Arauna Amazon. This Water/Fairy POKéMON embodies a part of Brazil's nature, folklore, or culture.",75,75,73,75,72,78,Torrente | Corpo Molhado,,Peixe-boi ancestral,reference-front-plus-reconstructed-back,available,057_mae-d-agua,057_mae-d-agua/anim_front.png,057_mae-d-agua/back.png,057_mae-d-agua/icon.png,057_mae-d-agua/normal.pal,057_mae-d-agua/shiny.pal,057_mae-d-agua/candidate_profile.json
58,Mandim,water,Whisker,Arauna Rivers,"Mandim, the Whisker POKéMON, inhabits Arauna Rivers. Its Water nature reflects Brazil's wildlife and legends.",41,54,43,45,45,55,Torrente | Corpo Molhado,#059 (Level 36),Bagre pequeno,reference-front-plus-reconstructed-back,available,058_mandim,058_mandim/anim_front.png,058_mandim/back.png,058_mandim/icon.png,058_mandim/normal.pal,058_mandim/shiny.pal,058_mandim/candidate_profile.json
59,Mandí,water/poison,Stinger,Arauna Rivers,"Found in Arauna Rivers, Mandí is known as the Stinger POKéMON. It carries a distinct Water/Poison affinity.",65,72,65,65,65,72,Torrente | Corpo Molhado,#060 (Level 40),Bagre adulto,reference-front-plus-reconstructed-back,available,059_mandi,059_mandi/anim_front.png,059_mandi/back.png,059_mandi/icon.png,059_mandi/normal.pal,059_mandi/shiny.pal,059_mandi/candidate_profile.json
60,Mandubé,water/dark,Devourer,Arauna Rivers,"Mandubé lives in Arauna Rivers. This Water/Dark POKéMON embodies a part of Brazil's nature, folklore, or culture.",89,96,90,95,90,95,Torrente | Corpo Molhado,,Bagre gigante,reference-front-plus-reconstructed-back,available,060_mandube,060_mandube/anim_front.png,060_mandube/back.png,060_mandube/icon.png,060_mandube/normal.pal,060_mandube/shiny.pal,060_mandube/candidate_profile.json
61,Preguim,normal,Prankster,Arauna Atlantic Forest,"Preguim, the Prankster POKéMON, inhabits Arauna Atlantic Forest. Its Normal nature reflects Brazil's wildlife and legends.",42,53,43,45,45,55,Faro | Placidez,#062 (Level 22),Macaco-prego novo,reference-front-plus-reconstructed-back,available,061_preguim,061_preguim/anim_front.png,061_preguim/back.png,061_preguim/icon.png,061_preguim/normal.pal,061_preguim/shiny.pal,061_preguim/candidate_profile.json
